Mice_no.,group,percent_of_act,adjusted_group
1,0.3,98.8267148,A
2,0.3,116.4259928,A
3,0.3,132.0912842,A
4,0.3,84.12841671,A
5,0.3,148.9169675,A
6,0.3,48.54306343,A
7,0.3,67.10933471,A
8,0.3,82.7746261,A
9,0.3,97.08612687,A
10,1,95.34553894,A
11,1,112.9448169,A
12,1,86.64259928,A
13,1,81.8076328,A
14,1,128.4167096,A
15,1,81.42083548,A
16,1,96.89272821,A
17,1,49.51005673,A
18,1,74.84528107,A
19,1,114.1052089,A
20,1,141.3744198,A
21,1,125.3223311,A
22,3,84.51521403,B
23,3,103.8550799,B
24,3,87.99638989,B
25,3,79.68024755,B
26,3,86.25580196,B
27,3,51.25064466,B
28,3,54.15162455,B
29,3,41.38731305,B
30,3,67.68953069,B
31,3,49.89685405,B
32,VEH,54.15162455,A
33,VEH,65.94894275,A
34,VEH,82.00103146,A
35,VEH,122.0345539,A
36,VEH,137.313048,A
37,VEH,80.45384219,A
38,VEH,126.4827231,A
39,VEH,88.38318721,A
40,VEH,122.0345539,A
41,VEH,96.11913357,A
42,VEH,76.00567303,A
43,VEH,126.0959257,A
44,VEH,109.8504384,A
45,VEH,119.9071686,A
46,VEH,93.21815369,A